의류수거함,위치
미성동-20,서울특별시 관악구 난곡로64가길 28
미성동-21,서울특별시 관악구 난곡로64가길 4
미성동-22,서울특별시 관악구 난곡로64길 55
미성동-23,서울특별시 관악구 난우10길 18
미성동-24,서울특별시 관악구 난우10길 18
미성동-25,서울특별시 관악구 난우10길 32
미성동-26,서울특별시 관악구 난우16길 36
미성동-27,서울특별시 관악구 난우16길 63-14
미성동-28,서울특별시 관악구 난우길 34-16
미성동-29,서울특별시 관악구 난우길 45
미성동-30,서울특별시 관악구 남부순환로142길 70
미성동-31,서울특별시 관악구 남부순환로142길 70
미성동-32,서울특별시 관악구 남부순환로142길 70
미성동-33,서울특별시 관악구 남부순환로142길 70
미성동-34,서울특별시 관악구 남부순환로152가길 34
미성동-35,서울특별시 관악구 남부순환로152길 23
미성동-36,서울특별시 관악구 남부순환로152길 60
미성동-37,서울특별시 관악구 남부순환로154길 36
미성동-38,서울특별시 관악구 남부순환로154길 46
미성동-39,서울특별시 관악구 문성로16길 13
미성동-40,서울특별시 관악구 문성로16길 45
미성동-41,서울특별시 관악구 문성로16길 45
미성동-42,서울특별시 관악구 문성로16나길 21
미성동-43,서울특별시 관악구 문성로16다길 76
미성동-44,서울특별시 관악구 문성로16다길 76
미성동-45,서울특별시 관악구 미성3길 38
미성동-46,서울특별시 관악구 미성3길 40
미성동-47,서울특별시 관악구 미성5길 18
미성동-48,서울특별시 관악구 미성5길 18
미성동-49,서울특별시 관악구 미성5길 20-9
미성동-50,서울특별시 관악구 미성5길 30
미성동-51,서울특별시 관악구 미성8길 28
미성동-52,서울특별시 관악구 미성8길 3-20
미성동-53,서울특별시 관악구 미성8길 3-20
미성동-54,서울특별시 관악구 미성길 122 정문
미성동-55,서울특별시 관악구 미성길 34
미성동-56,서울특별시 관악구 미성길 34
미성동-57,서울특별시 관악구 미성길 48
미성동-58,서울특별시 관악구 미성길 50
미성동-59,서울특별시 관악구 미성길 64
미성동-60,서울특별시 관악구 미성길 64
미성동-61,서울특별시 관악구 법원단지3길 24
미성동-62,서울특별시 관악구 법원단지3길 34
미성동-63,서울특별시 관악구 법원단지5가길 10
미성동-64,서울특별시 관악구 법원단지5가길 28
미성동-65,서울특별시 관악구 법원단지5길 17
미성동-66,서울특별시 관악구 법원단지5길 64
미성동-67,서울특별시 관악구 법원단지5길 69
미성동-68,서울특별시 관악구 법원단지5나길 45
미성동-69,서울특별시 관악구 법원단지5나길 66
미성동-70,서울특별시 관악구 법원단지5나길 7
미성동-71,서울특별시 관악구 법원단지5다길 26
미성동-72,서울특별시 관악구 법원단지5라길 26
미성동-73,서울특별시 관악구 법원단지5라길 26
미성동-74,서울특별시 관악구 법원단지5라길 31
삼성동-1,서울특별시 관악구 동마길 10
삼성동-2,서울특별시 관악구 성림길 7
삼성동-3,서울특별시 관악구 신림로29길 3-13
삼성동-4,서울특별시 관악구 신우길 3 옆
삼성동-5,서울특별시 관악구 약수암길 11
삼성동-6,서울특별시 관악구 약수암길 13-1
삼성동-7,서울특별시 관악구 약수암길 23
삼성동-8,서울특별시 관악구 양산길 11
삼성동-9,서울특별시 관악구 양산길 33
삼성동-10,서울특별시 관악구 양지10길 15-1
삼성동-11,서울특별시 관악구 양지10길 2-1
삼성동-12,서울특별시 관악구 양지12길 8
삼성동-13,서울특별시 관악구 양지길 41
삼성동-14,서울특별시 관악구 양지길 49
삼성동-15,서울특별시 관악구 양지길 58
삼성동-16,서울특별시 관악구 양지길 76
삼성동-17,서울특별시 관악구 양지길 94
삼성동-18,서울특별시 관악구 원신길 233 앞
삼성동-19,서울특별시 관악구 태흥길 7
삼성동-20,서울특별시 관악구 호암로16길 36
삼성동-21,서울특별시 관악구 호암로16길 45
삼성동-22,서울특별시 관악구 호암로18길 33
삼성동-23,서울특별시 관악구 호암로18나길 16
삼성동-24,서울특별시 관악구 호암로18나길 28 앞
삼성동-25,서울특별시 관악구 호암로18나길 5
서림동-1,서울특별시 관악구 복은10길 23
서림동-2,서울특별시 관악구 복은2길 30
서림동-3,서울특별시 관악구 복은4길 5
서림동-4,서울특별시 관악구 복은7길 42
서림동-5,서울특별시 관악구 복은길 12
서림동-6,서울특별시 관악구 복은길 22
서림동-7,서울특별시 관악구 복은길 30
서림동-8,서울특별시 관악구 복은길 58-27
서림동-9,서울특별시 관악구 복은길 59-14
서림동-10,서울특별시 관악구 복은길 76
서림동-11,서울특별시 관악구 복은길 79
서림동-12,서울특별시 관악구 복은길129-13
서림동-13,서울특별시 관악구 서림1길 4
서림동-14,서울특별시 관악구 서림3길 59
서림동-15,서울특별시 관악구 서림3길 60
서림동-16,서울특별시 관악구 서림3길 64
서림동-17,서울특별시 관악구 서림3길 69-5
서림동-18,서울특별시 관악구 서림5길 23
서림동-19,서울특별시 관악구 서림7길 39
서림동-20,서울특별시 관악구 서림7길 66
서림동-21,서울특별시 관악구 서림9길 30
서림동-22,서울특별시 관악구 서림길 107
서림동-23,서울특별시 관악구 서림길 118
서림동-24,서울특별시 관악구 서림길 40
서림동-25,서울특별시 관악구 서림길 40
서림동-26,서울특별시 관악구 서림길 99-6
서림동-27,서울특별시 관악구 신림로14길 31
서림동-28,서울특별시 관악구 신림로18가길 42
서림동-29,서울특별시 관악구 신림로18가길 9
서림동-30,서울특별시 관악구 신림로22길 18
서림동-31,서울특별시 관악구 신림로22길 29
서림동-32,서울특별시 관악구 신림로26길 16-4
서림동-33,서울특별시 관악구 신림로26길 5
서림동-34,서울특별시 관악구 쑥고개로2가길 6
서림동-35,서울특별시 관악구 쑥고개로2다길 18-6
서림동-36,서울특별시 관악구 쑥고개로2다길 26
서림동-37,서울특별시 관악구 쑥고개로2다길 7
서림동-38,서울특별시 관악구 쑥고개로2라길 7
서림동-39,서울특별시 관악구 참숯1길 67
서림동-40,서울특별시 관악구 참숯1길 67
서림동-41,서울특별시 관악구 참숯5길 10
서림동-42,서울특별시 관악구 참숯5길 10
서림동-43,서울특별시 관악구 참숯5길 24
서원동-1,서울특별시 관악구 남부순환로156길 9
서원동-2,서울특별시 관악구 남부순환로182길 14
서원동-3,서울특별시 관악구 남부순환로182길 28
서원동-4,서울특별시 관악구 남부순환로182길 30
서원동-5,서울특별시 관악구 남부순환로184가길 17
서원동-6,서울특별시 관악구 남부순환로184가길 23
서원동-7,서울특별시 관악구 남부순환로184길 30
서원동-8,서울특별시 관악구 남부순환로190가길 23
서원동-9,서울특별시 관악구 남부순환로190가길 33
서원동-10,서울특별시 관악구 남부순환로190가길 43
서원동-11,서울특별시 관악구 남부순환로190길 5
서원동-12,서울특별시 관악구 남부순환로194길 12
서원동-13,서울특별시 관악구 남부순환로194길 17
서원동-14,서울특별시 관악구 남부순환로194길 48
서원동-15,서울특별시 관악구 남부순환로194길 72
서원동-16,서울특별시 관악구 남부순환로194길 81
서원동-17,서울특별시 관악구 남부순환로194길 97
서원동-18,서울특별시 관악구 남부순환로200가길 17
서원동-19,서울특별시 관악구 남부순환로200나길 1
서원동-20,서울특별시 관악구 남부순환로200나길 26
서원동-21,서울특별시 관악구 문성로38가길 15
서원동-22,서울특별시 관악구 문성로38가길 15
서원동-23,서울특별시 관악구 문성로38가길 23
서원동-24,서울특별시 관악구 문성로38길 27
서원동-25,서울특별시 관악구 문성로38길 28
서원동-26,서울특별시 관악구 문성로38길 33
서원동-27,서울특별시 관악구 문성로38길 46
서원동-28,서울특별시 관악구 문성로38길 49
서원동-29,서울특별시 관악구 문성로38길 63-7
서원동-30,서울특별시 관악구 문성로38길 67
서원동-31,서울특별시 관악구 문성로38길 69-7
서원동-32,서울특별시 관악구 문성로38나길 14
서원동-33,서울특별시 관악구 문성로38다길 15
서원동-34,서울특별시 관악구 문성로38다길 28
서원동-35,서울특별시 관악구 문성로38다길 29
서원동-36,서울특별시 관악구 문성로38라길 20
서원동-37,서울특별시 관악구 문성로40길 23
서원동-38,서울특별시 관악구 문성로40길 34
서원동-39,서울특별시 관악구 문성로40길 4
서원동-40,서울특별시 관악구 문성로40길 5
서원동-41,서울특별시 관악구 서원10길 19
서원동-42,서울특별시 관악구 서원10길 19
서원동-43,서울특별시 관악구 서원10길 3
서원동-44,서울특별시 관악구 서원10길 4
서원동-45,서울특별시 관악구 서원3길 1
서원동-46,서울특별시 관악구 서원3길 20
서원동-47,서울특별시 관악구 서원3길 35
서원동-48,서울특별시 관악구 서원4길 13
서원동-49,서울특별시 관악구 서원4길 9
서원동-50,서울특별시 관악구 서원5길 19
서원동-51,서울특별시 관악구 서원5길 22
서원동-52,서울특별시 관악구 서원5길 36
서원동-53,서울특별시 관악구 서원6길 1
서원동-54,서울특별시 관악구 서원6길 23
서원동-55,서울특별시 관악구 서원6길 28
서원동-56,서울특별시 관악구 서원7길 18
서원동-57,서울특별시 관악구 서원7길 7
서원동-58,서울특별시 관악구 서원길 18
서원동-59,서울특별시 관악구 서원길 27-3
서원동-60,서울특별시 관악구 서원길 36
