자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시,,
관악구,LG001 F-MS 삼성동제2공영(삼성동 306-59),방범,37.46401495,126.9335511,1,2021-09-08,,
관악구,LG001 G-MS 삼성동제2공영(삼성동 306-59),방범,37.46401499,126.9336295,1,2021-09-08,,
관악구,AF008 1-1R 삼성동 산 86-6 (관악도시농업공원),방범,37.46405374,126.9277726,1,2021-09-08,,
관악구,DC010 1-1S 난향동 675-6,방범,37.46407133,126.9158238,1,2021-09-08,,
관악구,DC009 3-3S 난향동 675-28,방범,37.46408346,126.9162269,1,2021-09-08,,
관악구,LG001 9-MS 삼성동제2공영(삼성동 306-59),방범,37.46408835,126.9333781,1,2021-09-08,,
관악구,LG001 A-MS 삼성동제2공영(삼성동 306-59),방범,37.46409024,126.933468,1,2021-09-08,,
관악구,DC009 2-3S 난향동 675-28,방범,37.46409227,126.916043,1,2021-09-08,,
관악구,LG001 B-MS 삼성동제2공영(삼성동 306-59),방범,37.46409395,126.9335418,1,2021-09-08,,
관악구,LG001 C-MS 삼성동제2공영(삼성동 306-59),방범,37.46409584,126.9336271,1,2021-09-08,,
관악구,AA004 1-1RL 고시자연공원(대학동 255-258),방범,37.46414404,126.9353063,1,2021-09-08,,
관악구,DC009 1-3R 난향동 675-28,방범,37.46415312,126.9161259,1,2021-09-08,,
관악구,LG001 7-MS 삼성동제2공영(삼성동 306-59),방범,37.46416194,126.9335348,1,2021-09-08,,
관악구,LG001 8-MS 삼성동제2공영(삼성동 306-59),방범,37.46416199,126.9336201,1,2021-09-08,,
관악구,LG001 6-MS 삼성동제2공영(삼성동 306-59),방범,37.4641674,126.9334495,1,2021-09-08,,
관악구,LG001 5-MS 삼성동제2공영(삼성동 306-59),방범,37.46416919,126.9333619,1,2021-09-08,,
관악구,D2036 2-5S 삼성동 306-49,방범,37.46417454,126.9328653,1,2021-09-08,,
관악구,LG001 4-MS 삼성동제2공영(삼성동 306-59),방범,37.46423365,126.9336154,1,2021-09-08,,
관악구,LG001 3-MS 삼성동제2공영(삼성동 306-59),방범,37.46423544,126.9335278,1,2021-09-08,,
관악구,LG001 1-MS 삼성동제2공영(삼성동 306-59),방범,37.46423718,126.9333573,1,2021-09-08,,
관악구,LG001 2-MS 삼성동제2공영(삼성동 306-59),방범,37.46423906,126.9334402,1,2021-09-08,,
관악구,YC003 1-2S 대학동 255-162 ,방범,37.46424941,126.9360288,1,2021-09-08,,
관악구,YC003 2-2S 대학동 255-162 ,방범,37.46427399,126.9359842,1,2021-09-08,,
관악구,D2036 3-5S 삼성동 306-49,방범,37.46428711,126.9327362,1,2021-09-08,,
관악구,DC019 3-4S 대학동 255-140,방범,37.46429192,126.9367053,1,2021-09-08,,
관악구,D2036 1-5R 삼성동 306-49,방범,37.46429343,126.9328562,1,2021-09-08,,
관악구,D2036 5-5S 삼성동 306-49,방범,37.46429797,126.9329751,1,2021-09-08,,
관악구,DG071 1-1S 대학동 255-156,방범,37.46433055,126.936312,1,2021-09-08,,
관악구,DG037 1-1S 대학동 255-164,방범,37.46433832,126.9357114,1,2021-09-08,,
관악구,DC019 1-4RL 대학동 255-140,방범,37.46437957,126.9367726,1,2021-09-08,,
