의류수거함,address,ID,lat,lng
대학동-23,서울특별시 관악구 신림로3가길 32,201,37.4766954,126.9548079
대학동-24,서울특별시 관악구 신림로3가길 32,202,37.4766954,126.9548079
대학동-25,서울특별시 관악구 신림로3가길 40-24,203,37.4766954,126.9548079
대학동-26,서울특별시 관악구 신림로3가길 45,204,37.4766954,126.9548079
대학동-27,서울특별시 관악구 신림로3가길 46-17,205,37.4766954,126.9548079
대학동-28,서울특별시 관악구 신림로3가길 46-8,206,37.4766954,126.9548079
대학동-29,서울특별시 관악구 신림로3가길 63,207,37.4766954,126.9548079
대학동-30,서울특별시 관악구 신림로7가길 34 앞,208,37.4766954,126.9548079
대학동-31,서울특별시 관악구 신림로7가길 34 옆,209,37.4766954,126.9548079
대학동-32,서울특별시 관악구 신림로7길 15,210,37.4766954,126.9548079
대학동-33,서울특별시 관악구 신림로7길 32,211,37.4766954,126.9548079
대학동-34,서울특별시 관악구 신림로7길 33,212,37.4766954,126.9548079
대학동-35,서울특별시 관악구 신림로7나길 27,213,37.4766954,126.9548079
대학동-36,서울특별시 관악구 호암로20길 13,214,37.4766954,126.9548079
대학동-37,서울특별시 관악구 호암로20길 25,215,37.4766954,126.9548079
대학동-38,서울특별시 관악구 호암로20길 33,216,37.4766954,126.9548079
대학동-39,서울특별시 관악구 호암로20길 7,217,37.4766954,126.9548079
대학동-40,서울특별시 관악구 호암로22가길 6,218,37.4766954,126.9548079
대학동-41,서울특별시 관악구 호암로22길 15,219,37.4766954,126.9548079
대학동-42,서울특별시 관악구 호암로22길 5,220,37.4766954,126.9548079
대학동-43,서울특별시 관악구 호암로24가길 55,221,37.4766954,126.9548079
대학동-44,서울특별시 관악구 호암로24가길 77,222,37.4766954,126.9548079
대학동-45,서울특별시 관악구 호암로26가길 11,223,37.4766954,126.9548079
대학동-46,서울특별시 관악구 호암로26가길 53,224,37.4766954,126.9548079
미성동-1,서울특별시 관악구 난곡로34나길 18,225,37.4766954,126.9548079
미성동-2,서울특별시 관악구 난곡로40길 6,226,37.4766954,126.9548079
미성동-3,서울특별시 관악구 난곡로41길 28,227,37.4766954,126.9548079
미성동-4,서울특별시 관악구 난곡로41길 7,228,37.4766954,126.9548079
미성동-5,서울특별시 관악구 난곡로43길 8,229,37.4766954,126.9548079
미성동-6,서울특별시 관악구 난곡로45길 13,230,37.4766954,126.9548079
미성동-7,서울특별시 관악구 난곡로47길 23,231,37.4766954,126.9548079
미성동-8,서울특별시 관악구 난곡로48길 13,232,37.4766954,126.9548079
미성동-9,서울특별시 관악구 난곡로49길 23,233,37.4766954,126.9548079
미성동-10,서울특별시 관악구 난곡로51길 13,234,37.4766954,126.9548079
미성동-11,서울특별시 관악구 난곡로53길 14,235,37.4766954,126.9548079
미성동-12,서울특별시 관악구 난곡로57길 17,236,37.4766954,126.9548079
미성동-13,서울특별시 관악구 난곡로59길 23,237,37.4766954,126.9548079
미성동-14,서울특별시 관악구 난곡로61길 40,238,37.4766954,126.9548079
미성동-15,서울특별시 관악구 난곡로61길 6,239,37.4766954,126.9548079
